Numgoogle:	344000000
SizeGoogle:	42000000000
File#	#Words	#Q
5 	 5133 	 2
7 	 5132 	 13
10 	 1149 	 3
13 	 2517 	 1
14 	 1711 	 3
16 	 13630 	 12
18 	 7123 	 6
27 	 1149 	 3
29 	 3725 	 1
31 	 7164 	 3
35 	 1174 	 1
43 	 2213 	 2
45 	 2471 	 1
50 	 4702 	 20
51 	 1676 	 6
54 	 51205 	 6
57 	 5707 	 1
61 	 2616 	 5
65 	 666 	 1
66 	 8351 	 6
67 	 1676 	 6
69 	 1817 	 2
71 	 899 	 1
76 	 1099 	 6
78 	 1899 	 21
79 	 1103 	 7
81 	 1026 	 1
86 	 4032 	 26
88 	 1082 	 1
89 	 4038 	 1
92 	 4970 	 1
97 	 1880 	 2
98 	 1102 	 6
101 	 776 	 9
104 	 2334 	 2
110 	 138 	 1
111 	 3169 	 54
114 	 3144 	 2
124 	 1098 	 6
125 	 3114 	 5
127 	 1372 	 1
128 	 225 	 3
131 	 14964 	 1
134 	 960 	 2
135 	 1372 	 1
136 	 1093 	 6
143 	 1939 	 1
145 	 2612 	 14
147 	 1407 	 1
148 	 5757 	 5
151 	 3454 	 1
153 	 3353 	 4
161 	 1493 	 1
164 	 2628 	 3
168 	 1096 	 6
169 	 2077 	 1
171 	 1513 	 2
172 	 4056 	 24
176 	 6691 	 1
183 	 2594 	 4
190 	 4397 	 2
192 	 4614 	 3
193 	 2834 	 15
195 	 1675 	 1
198 	 6135 	 3
200 	 2353 	 2
203 	 1093 	 6
204 	 2799 	 6
205 	 5449 	 2
208 	 530 	 1
210 	 4060 	 6
211 	 3049 	 6
212 	 4153 	 15
218 	 4038 	 1
221 	 2517 	 2
222 	 2427 	 1
224 	 343 	 1
226 	 2527 	 1
228 	 3464 	 1
231 	 2427 	 1
233 	 3322 	 1
237 	 2006 	 1
243 	 4455 	 14
244 	 2427 	 1
246 	 1545 	 4
247 	 4757 	 4
250 	 6018 	 20
252 	 10075 	 5
253 	 3990 	 3
255 	 6394 	 10
256 	 1718 	 1
259 	 6613 	 7
261 	 3163 	 2
262 	 12892 	 2
263 	 1974 	 2
267 	 9339 	 1
269 	 2421 	 2
272 	 606 	 4
273 	 1734 	 1
279 	 1594 	 6
280 	 2235 	 5
284 	 8539 	 303
292 	 3338 	 7
294 	 4671 	 5
295 	 2712 	 1
296 	 124 	 1
308 	 1815 	 1
322 	 577 	 3
334 	 154 	 14
335 	 738 	 1
342 	 1286 	 2
343 	 1020 	 1
351 	 1560 	 1
352 	 4118 	 2
359 	 6061 	 10
362 	 144 	 1
367 	 2113 	 1
368 	 11969 	 6
369 	 1260 	 1
372 	 3248 	 2
375 	 2478 	 1
377 	 4297 	 1
380 	 6405 	 1
381 	 4083 	 4
399 	 2742 	 1
406 	 987 	 2
408 	 1115 	 2
409 	 3909 	 5
412 	 2824 	 1
425 	 2763 	 1
428 	 3242 	 3
429 	 862 	 1
434 	 4658 	 3
435 	 2762 	 5
444 	 1835 	 2
457 	 1733 	 6
460 	 3231 	 13
461 	 5076 	 32
462 	 3972 	 8
463 	 1846 	 1
467 	 2261 	 6
470 	 3490 	 6
471 	 1397 	 22
481 	 102 	 1
485 	 126 	 1
494 	 3278 	 38
495 	 2169 	 2
501 	 1692 	 3
504 	 1545 	 2
505 	 2053 	 3
506 	 33409 	 2
519 	 1102 	 6
520 	 3377 	 3
527 	 1328 	 1
528 	 4158 	 4
530 	 3650 	 2
538 	 28231 	 1
541 	 4314 	 13
545 	 4684 	 7
546 	 7716 	 7
547 	 4341 	 4
549 	 2802 	 2
553 	 3071 	 6
555 	 1060 	 2
557 	 3596 	 1
559 	 1320 	 3
564 	 2616 	 5
565 	 2484 	 3
566 	 4315 	 5
572 	 1700 	 3
578 	 825 	 1
583 	 5721 	 5
587 	 5034 	 3
589 	 401 	 4
590 	 109 	 1
592 	 6545 	 6
597 	 4629 	 1
598 	 2184 	 1
599 	 9926 	 3
602 	 2890 	 17
604 	 1518 	 3
606 	 2261 	 2
609 	 2126 	 3
610 	 2020 	 1
616 	 1950 	 7
617 	 2994 	 1
620 	 31785 	 1
628 	 3310 	 18
634 	 2768 	 6
636 	 2768 	 6
639 	 1656 	 1
640 	 1394 	 7
642 	 1113 	 1
643 	 2239 	 1
653 	 1663 	 1
656 	 3167 	 2
659 	 1697 	 2
661 	 1103 	 6
662 	 2701 	 2
663 	 3383 	 6
664 	 4314 	 13
668 	 2711 	 1
669 	 2263 	 6
672 	 3925 	 2
674 	 7406 	 7
675 	 5344 	 1
677 	 2376 	 7
678 	 1613 	 4
680 	 2025 	 79
681 	 1096 	 6
682 	 3646 	 1
684 	 1904 	 1
686 	 2911 	 3
694 	 1330 	 2
695 	 3563 	 1
697 	 4746 	 12
698 	 1285 	 4
700 	 5845 	 5
701 	 8514 	 5
704 	 2408 	 4
707 	 3054 	 2
709 	 1294 	 3
714 	 1096 	 6
720 	 1098 	 6
730 	 696 	 2
733 	 2345 	 3
734 	 3694 	 2
737 	 7688 	 1
738 	 2261 	 2
740 	 3607 	 5
743 	 2900 	 2
748 	 2302 	 3
750 	 3636 	 9
751 	 461 	 2
755 	 1093 	 6
758 	 3101 	 1
762 	 2905 	 3
767 	 23558 	 2
768 	 1103 	 6
771 	 2443 	 1
772 	 2698 	 1
773 	 2721 	 5
775 	 2025 	 1
777 	 118 	 1
779 	 1165 	 2
782 	 3704 	 1
788 	 23905 	 1
791 	 12201 	 1
797 	 137 	 1
799 	 8984 	 4
800 	 1093 	 6
806 	 2483 	 2
807 	 8227 	 3
808 	 1835 	 8
809 	 2757 	 1
814 	 3674 	 3
816 	 3017 	 1
819 	 989 	 1
831 	 5086 	 2
833 	 21209 	 69
834 	 5768 	 1
835 	 9723 	 1
838 	 998 	 1
840 	 1377 	 6
845 	 1271 	 1
846 	 1180 	 1
849 	 3853 	 2
852 	 1500 	 1
854 	 2589 	 1
856 	 2900 	 2
864 	 2324 	 9
867 	 10690 	 2
869 	 1093 	 6
877 	 129 	 1
880 	 2708 	 6
881 	 2465 	 2
895 	 2650 	 1
896 	 1637 	 17
902 	 9319 	 17
903 	 1645 	 1
906 	 3017 	 1
907 	 6941 	 4
913 	 2204 	 1
917 	 2115 	 4
918 	 3506 	 1
919 	 6668 	 6
922 	 3594 	 9
923 	 2814 	 2
925 	 455 	 1
928 	 5303 	 1
937 	 1329 	 1
938 	 6270 	 2
942 	 1093 	 6
946 	 3808 	 1
947 	 3762 	 4
951 	 1511 	 2
954 	 2560 	 5
962 	 3945 	 33
963 	 474 	 1
971 	 5209 	 18
972 	 2192 	 6
973 	 909 	 32
974 	 3591 	 4
976 	 5785 	 1
979 	 6767 	 1
980 	 2626 	 2
981 	 3442 	 32
983 	 746 	 1
994 	 13126 	 2
995 	 793 	 1
1000 	 3603 	 1
