TFIDF	TF	IDF	URI
-----	--	---	---
0.631	0.091	6.93184	http://timehop.com/c/dkp:228577748:4e40d
0.270	0.039	6.93184	https://photojojo.com/store/awesomeness/power-pot/
0.243	0.035	6.93184	http://hardware.slashdot.org/story/14/08/05/2033230/t-mobile-smartphones-outlast-competitors-identical-models?utm_source=slashdot&utm_medium=twitter
0.243	0.035	6.93184	http://appleinsider.com/articles/14/02/18/apple-patents-sensor-packed-health-monitoring-headphones-with-head-gesture-control
0.118	0.017	6.93184	http://www.technologyreview.com/news/530671/smartphone-movements-could-reveal-empty-parking-spots/
0.111	0.016	6.93184	http://blog.peerj.com/post/89751390423/author-interview-meadow-microbiome-phones
0.090	0.013	6.93184	http://pressurenet.io/
0.083	0.012	6.93184	http://www.engadget.com/2014/09/15/us-fines-would-have-destroyed-yahoo/
0.083	0.012	6.93184	http://www.technologyreview.com/news/527836/thermal-camera-turns-many-things-into-interactive-surfaces/
0.076	0.011	6.93184	http://www.electronista.com/articles/14/09/18/missing.language.suggests.apple.has.received.patriot.act.request/
