Blog	fix	address	social	university	talked	comfort	direction	sold	term	kinda	taught	skin	gotta	enter	considered	orange	bill	blame	whose	besides	common	lesson	report	odd	february	effect	presents	slept	uncle	fat	trouble	sell	cost	fantastic	tells	among	restaurant	decision	colors	setting	possibly	unique	bird	article	broke	fully	included	mountain	joined	becoming	crap	tough	various	milk	soft	crowd	riding	similar	headed	miles	knowledge	cheap	remind	reminds	garden	kiss	cd	spread	till	heat	daughter	aware	album	checked	sugar	willing	goal	consider	bags	doctor	built	smiling	scene	product	cousin	performance	animal	island	shoot	losing	gifts	advice	match	heads	related	pages	grade	pants	master	eve	swimming	yours	agree	jesus	clearly	picking	language	students	national	crying	interview	fans	ladies	holidays	release	opinion	tickets	wet	lie	north	blogger	attend	vacation	failed	allow	media	halloween	digital	videos	paint	breaking	health	challenge	issue	teeth	mixed	expected	via	checking	suddenly	harder	ending	bringing	dogs	battle	inspired	seat	joke	flight	sight	official	birds	answers	neither	runs	east	artist	stone	account	projects	shut	remembered	classes	edge	festival	sets	friendly	hide	seven	magazine	career	weight	thus	episode	describe	quote	everybody	hadn	net	pizza	feelings	fellow	degrees	happiness	jack	plenty	schedule	plays	french	desk	otherwise	anniversary	success	sand	mid	begins	storm	blogs	community	path	camp	player	credit	tall	cheese	midnight	river	education	van	jobs	circle	pure	pack	powerful	balance	shots	response	available	handle	vs	boxes	lake	sees	personally	prepared	barely	training	receive	cleaning	giant	google	drinks	golden	hat	chair	research	ordered	police	finger	adventure	babies	parties	ah	sex	impossible	packed	distance	normally	feed	tune	rolling	sale	paul	terrible	becomes	calm	goodness	position	honor	musical	forgotten	hits	likely	ears	numbers	ability	wanna	press	led	boss	fighting	tight	listened	noise	tom	states	student	private	society	james	force	disappointed	text	bathroom	hearts	arm	exact	traffic	reached	sometime	guilty	rare	vote	forth	minor	em	killed	member	shower	constantly	rocks	ain	reminded	loose	confused	typical	movement	progress	plastic	review	blow	jam	jeans	grew	culture	library	pics	science	dust	beer	model	decent	san	lessons	officially	directly	selling	damn	folks	butter	staff	aside	topic	shake	signed	false	easter	fourth	cash	deserve	leading	higher	copy	birth	surgery	candy	ups	eight	paying	suit	obvious	salt	professional	youtube	mary	attended	driver	york	cooking	provide	worried	laid	valentine	couch	sisters	lets	blast	indeed	classic	shit	cancer	delicious	value	pro	mission	items	excuse	proper	toy	released	creating	piano	rough	waste	inspiration	bread	lyrics	cell	evil	lord	pulling	considering	holds	yard	faster	lying	sports	kinds	adventures	santa	download	design	painted	doors	angry	meal	visited	prefer	walks	attitude	animals	puts	rule	wore	suppose	option	windows	therefore	role	vision	clock	despite	compared	traditional	degree	avoid	faith	correct	recommend	pleasure	studio	cried	raise	solid	drama	grateful	hungry	activities	plane	target	covers	entry	accident	younger	trips	sang	awake	aunt	concept	gain	waited	bank	somebody	impressed	swing	drunk	sides	celebration	families	fool	juice	attack	walls	serve	overall	pet	curious	appear	experienced	print	hung	ipod	tag	continues	saved	nap	threw	precious	ignore	task	shirts	saving	web	adorable	ticket	tend	necessary	angel	dates	stood	falls	drawing	highly	freedom	modern	stress	bowl	q	finds	stomach
let lemons be angry	1	0	5	6	5	4	3	2	4	1	3	2	0	2	0	4	0	5	2	1	7	4	2	1	2	3	8	4	3	3	2	2	3	1	5	6	1	3	4	2	3	0	2	2	0	1	0	2	3	6	0	1	1	2	7	6	0	7	0	0	1	3	2	3	8	3	0	2	9	1	3	1	1	0	3	0	0	0	9	3	4	4	4	4	4	2	4	8	3	2	4	0	3	5	0	1	0	2	1	5	3	1	0	2	2	6	3	6	7	4	4	2	1	5	0	1	1	5	3	2	2	2	0	3	3	1	3	1	5	5	0	1	0	1	2	0	7	2	0	9	1	4	2	5	0	2	5	1	2	3	3	1	5	2	0	3	7	2	1	9	3	3	9	1	2	2	8	8	6	1	3	4	0	1	2	0	11	6	1	5	4	0	2	5	3	5	4	2	4	7	0	6	1	2	2	1	1	3	0	3	31	3	2	0	3	3	0	5	2	8	5	3	4	0	1	3	1	2	0	0	2	5	2	3	1	4	8	3	3	3	1	1	4	1	7	3	0	1	6	1	4	4	3	1	4	7	1	1	3	0	1	3	0	2	3	1	2	4	1	3	6	0	0	4	4	0	0	2	3	2	1	5	2	2	2	3	3	2	3	1	3	1	1	2	14	2	2	2	2	1	2	7	1	1	0	1	3	1	3	1	1	0	0	2	0	2	1	2	6	0	1	1	4	3	6	4	0	3	3	0	2	0	0	6	0	1	1	0	2	0	4	4	3	1	2	2	0	0	1	3	0	1	0	1	3	4	0	2	2	0	1	0	0	4	0	2	2	0	7	0	0	3	5	7	0	1	0	1	2	0	0	1	1	1	2	2	1	5	4	0	1	1	1	7	2	1	5	3	2	4	1	0	0	0	1	4	0	4	2	1	1	8	4	1	3	4	3	2	1	1	1	2	2	3	6	0	1	2	3	0	1	8	3	3	0	1	1	3	0	1	3	7	2	2	8	2	4	3	1	2	1	2	2	3	2	2	5	0	2	0	4	0	13	1	3	0	1	2	2	1	6	2	2	2	0	2	2	3	1	2	1	1	0	0	4	0	1	6	2	1	7	2	5	0	0	1	1	0	0	7	1	5	3	0	2	2	1	2	0	0
Mutiny on the Cardboard Sea	3	0	4	0	1	2	8	5	7	4	3	11	11	0	4	1	3	3	2	0	3	5	2	2	3	6	4	0	2	3	2	2	3	5	5	2	2	2	2	3	0	0	2	3	8	2	4	4	3	6	3	2	4	2	0	3	0	1	1	0	2	1	3	4	0	10	3	4	10	4	4	2	38	0	5	4	0	0	1	5	0	0	6	3	2	6	0	5	4	2	0	2	4	1	2	1	0	5	3	3	0	2	1	10	5	3	13	6	7	8	9	4	9	3	16	1	2	5	2	5	1	0	4	2	7	3	4	2	15	3	2	6	6	0	4	6	3	9	0	0	0	1	3	0	1	6	2	2	0	1	6	0	2	0	0	4	5	3	1	1	5	0	2	2	0	1	1	2	0	4	14	2	0	2	1	3	1	2	5	0	5	3	0	3	3	2	1	3	7	0	3	0	4	1	2	6	0	1	0	2	1	1	0	4	0	3	0	1	3	4	3	3	2	2	1	7	9	3	0	2	1	0	1	1	1	0	0	1	3	1	5	10	2	4	1	1	1	3	2	1	1	0	0	14	1	0	1	2	1	8	5	2	2	0	5	0	0	2	0	6	3	7	9	4	2	1	12	6	0	10	2	3	2	0	5	5	3	2	1	12	4	1	2	6	1	5	4	0	3	2	0	0	2	3	0	8	11	1	6	0	1	5	1	1	3	5	1	3	3	3	3	4	1	1	1	0	1	1	1	3	7	5	1	0	1	1	2	7	10	3	3	1	0	2	1	13	0	0	6	4	1	1	2	1	1	4	3	0	1	0	2	0	2	7	6	1	0	15	0	0	2	0	4	2	1	1	2	1	4	13	15	2	4	1	2	7	1	2	5	8	1	4	4	1	2	0	23	1	4	2	0	5	2	1	1	3	1	3	2	1	2	0	3	1	1	1	0	2	1	2	1	1	2	2	0	2	1	0	2	6	0	1	2	1	2	2	2	1	2	1	5	1	5	0	3	1	2	0	2	3	5	0	3	3	0	6	1	0	2	2	1	1	9	0	1	10	1	1	0	5	2	4	0	2	0	0	3	5	0	0	0	3	0	4	2	1	2	1	0	1	2	2	4	0	1	0	1	3	2	3	0	4	4	11	1	1	0	0	1	5
Aussie Girl PAWS Puppy	0	0	0	2	1	0	0	0	1	2	2	0	0	1	0	1	0	0	0	0	0	2	1	0	1	0	1	2	2	0	9	0	1	0	0	0	0	0	0	1	0	0	1	4	0	0	0	2	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	4	1	0	0	1	2	0	0	0	2	0	1	0	0	0	1	0	1	1	0	2	0	1	0	3	0	1	0	0	0	1	0	0	1	0	0	7	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	1	2	3	0	0	7	0	0	0	3	2	0	1	1	1	1	0	7	0	0	0	2	0	0	0	0	25	0	0	0	0	0	1	8	3	0	1	2	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	7	0	0	1	0	0	2	0	0	3	0	0	0	0	0	1	0	0	1	0	0	8	0	0	0	0	5	0	0	0	0	0	3	0	4	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	2	5	2	1	0	0	0	2	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	4	2	0	0	1	5	2	0	0	0	2	0	2	2	0	0	0	5	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	10	0	0	0	0	0	0	0	0	3	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	6	1	0	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0
Isoceleria	10	9	41	12	11	4	39	6	11	0	3	1	1	19	15	15	8	5	40	36	26	13	5	32	22	47	4	0	5	9	8	6	14	29	35	91	25	25	16	96	59	27	1	23	7	14	15	12	2	25	37	36	38	29	2	11	2	38	17	24	26	9	3	6	20	10	58	6	0	32	7	9	378	4	28	29	27	32	0	5	24	1	63	28	3	33	7	334	9	18	2	21	10	8	26	22	14	4	19	1	4	2	29	11	58	19	31	27	22	0	2	137	1	1	43	48	7	1	10	22	7	2	8	22	19	16	6	2	4	3	15	9	19	52	1	14	23	9	3	20	10	37	17	2	43	21	2	12	16	4	7	10	21	45	17	15	20	16	8	1	7	4	23	9	3	11	9	8	50	19	22	4	11	135	32	13	7	18	4	6	20	9	12	3	111	52	9	56	43	12	30	2	27	2	22	7	15	8	19	12	12	35	39	3	22	14	10	12	6	5	11	9	8	21	13	9	11	13	9	12	1	5	11	6	6	14	6	2	0	17	16	5	12	6	3	24	4	5	0	4	2	3	11	5	23	3	8	8	5	10	14	4	10	21	43	2	7	25	17	67	3	16	49	1	32	24	3	8	14	14	8	16	23	15	42	22	42	9	16	10	28	26	8	0	5	4	29	4	12	11	6	12	11	8	25	0	16	13	6	6	2	1	6	5	7	7	12	15	3	116	14	14	4	12	51	7	0	46	4	26	4	39	7	7	1	14	3	21	3	4	19	39	10	16	7	5	12	35	3	9	15	18	6	13	2	3	6	35	12	11	44	18	4	6	4	1	9	15	24	17	4	7	2	0	6	11	11	23	43	2	1	25	20	2	15	8	13	10	4	32	2	14	3	12	20	6	28	10	52	16	3	8	10	4	9	11	14	1	3	8	6	7	1	10	8	8	6	16	2	2	5	13	15	3	11	12	9	34	42	3	2	48	22	17	16	16	25	21	10	12	7	1	5	32	31	3	3	0	14	8	2	8	5	8	3	3	3	1	42	13	3	1	9	15	9	5	17	3	3	5	13	7	6	11	17	1	14	19	10	3	1	15	4	16	5	1	5	3	7	4	3	13	11	2	11	6	43	7	10	8	15	11	16	0	26	0	42	2	6	4
CCC	14	3	7	1	14	5	6	11	6	5	12	2	7	2	8	7	6	3	4	6	1	14	18	1	3	2	3	12	10	8	13	7	1	3	3	3	3	6	6	8	15	3	4	3	21	3	8	3	9	4	6	19	15	8	4	1	60	0	53	16	3	3	3	3	10	5	2	3	11	12	19	0	2	6	2	6	11	5	14	24	8	2	6	3	13	3	3	6	11	5	15	1	2	12	2	1	29	18	10	8	39	1	3	21	1	8	2	5	2	7	3	8	2	5	0	1	7	12	0	6	14	6	24	8	13	2	6	4	7	35	2	6	8	8	16	2	9	1	10	7	3	7	3	36	4	2	9	5	5	6	3	3	4	10	6	0	3	2	1	21	8	3	5	3	8	3	4	7	0	2	5	10	1	2	4	3	1	14	4	16	5	4	11	0	3	17	11	6	1	10	6	8	9	3	5	7	24	4	10	2	36	7	5	11	7	6	57	1	0	4	4	6	10	3	1	51	8	3	14	7	4	1	6	2	9	4	7	5	31	0	0	1	0	14	7	2	10	8	6	4	18	6	0	4	4	14	4	10	8	1	4	20	0	6	7	4	9	11	5	2	8	5	11	7	4	6	0	1	4	10	13	13	4	3	3	3	10	3	2	1	11	5	2	46	12	15	5	4	3	12	14	11	0	8	5	0	6	2	23	4	4	4	18	7	2	16	4	6	7	1	3	2	3	3	1	4	82	6	3	3	3	8	0	21	9	5	5	1	11	6	2	1	3	5	6	0	33	2	7	2	5	3	1	6	10	10	6	4	2	13	5	1	3	0	0	4	7	0	11	9	1	6	17	24	8	3	14	5	2	0	3	7	4	4	8	4	1	6	5	4	6	11	14	4	0	4	0	3	1	12	8	7	1	41	8	3	8	3	2	8	1	0	11	7	4	9	6	11	1	12	20	6	2	14	0	3	1	15	2	2	6	23	2	2	4	8	7	2	1	0	0	4	2	0	1	10	8	14	3	1	3	11	6	1	4	0	4	12	10	5	5	4	2	9	12	0	3	11	2	2	3	0	11	2	4	3	2	1	6	1	13	1	6	6	5	14	6	31	4	15	2	2	1	7	4	6	10	6	0	13	6	4	6	4	1	5	4	0	3	19
The Infernal Journal	6	7	2	7	10	6	6	6	6	36	5	26	28	4	3	4	13	14	6	2	11	3	3	1	2	3	2	6	3	16	6	8	4	4	13	4	13	7	0	5	10	6	12	17	12	6	5	5	6	9	19	11	10	9	11	5	3	5	8	1	2	6	3	3	4	3	8	7	0	13	2	9	1	5	4	5	2	8	16	5	1	4	11	2	2	1	54	12	0	2	7	3	5	13	16	13	10	24	2	8	1	5	3	4	8	6	3	5	10	3	7	0	7	12	4	5	8	13	9	9	22	2	7	0	8	5	8	1	2	20	3	14	3	14	29	0	2	6	2	20	5	2	6	141	2	5	19	14	1	4	3	9	6	2	8	0	4	2	3	3	19	7	0	8	1	5	8	6	2	13	8	6	5	10	2	1	1	6	2	3	4	7	6	3	3	1	1	1	8	4	7	4	6	5	3	5	6	6	10	7	2	4	0	5	11	5	1	0	2	3	4	1	8	1	10	9	5	5	15	3	11	0	11	7	1	11	5	2	11	11	5	3	1	5	6	1	2	9	2	1	9	3	8	5	3	1	4	2	6	2	9	20	3	2	4	6	1	6	1	3	1	3	17	14	6	2	22	3	1	4	5	6	3	9	0	3	3	7	5	3	7	3	3	13	7	11	7	4	2	2	4	3	5	5	1	30	4	7	9	2	7	28	2	7	3	2	3	5	23	2	6	3	7	2	2	1	32	0	5	9	2	3	3	0	1	3	4	30	4	10	14	8	3	9	4	3	1	2	6	7	1	1	3	4	28	9	4	2	7	3	5	8	7	3	3	0	6	2	3	5	4	2	2	22	0	4	2	4	1	28	3	6	3	5	4	6	1	3	11	0	4	0	2	2	1	6	0	3	1	4	9	6	5	7	1	8	4	0	3	13	1	2	5	4	8	11	3	5	4	0	75	6	5	1	3	6	10	5	4	2	1	3	3	3	5	3	2	2	3	5	3	4	11	8	0	5	3	1	4	0	3	7	2	0	2	1	9	8	0	3	0	6	9	4	2	11	4	4	6	4	8	6	20	4	1	17	3	2	5	14	3	0	6	3	10	2	9	3	4	2	2	1	10	4	8	0	5	4	4	9	5	6	4	0	4	2	6	3	1	6
Touch My Clickwheel	1	0	0	3	2	0	0	6	1	0	0	1	2	0	3	1	4	2	5	3	1	1	1	1	1	0	0	0	1	0	2	3	0	1	0	5	1	2	2	1	10	0	7	5	1	0	5	4	1	0	1	0	1	0	2	8	2	2	1	0	2	0	0	5	3	1	2	1	1	1	0	2	67	1	1	0	0	0	0	0	0	1	4	0	0	14	1	0	0	2	1	4	1	0	2	0	0	0	0	0	1	2	3	2	3	0	0	0	9	1	2	4	15	0	6	0	7	1	1	0	6	0	0	0	0	0	0	2	5	2	1	0	0	0	0	0	0	5	2	0	3	1	1	0	2	9	0	1	0	0	2	0	0	2	1	3	3	3	1	0	3	1	0	1	0	0	1	0	2	2	0	0	2	2	0	0	2	4	1	1	2	2	0	0	0	0	0	4	4	1	0	1	5	0	0	0	1	3	1	1	0	1	0	0	0	1	1	0	5	1	0	1	1	3	2	2	2	1	1	5	0	3	0	1	0	1	0	0	0	0	4	0	2	0	0	0	0	0	0	4	0	0	0	6	0	1	0	1	1	6	6	1	5	3	0	0	0	0	9	6	2	4	2	2	1	3	0	0	4	0	0	0	3	1	3	2	1	1	0	2	4	2	0	0	1	0	0	0	0	2	3	2	1	0	0	3	1	5	0	0	5	7	1	1	1	2	0	0	1	1	1	1	0	0	1	4	0	0	0	3	1	2	0	0	1	1	1	5	2	0	1	1	8	1	1	0	1	1	1	2	0	0	4	0	0	0	0	1	1	1	1	0	0	5	1	0	0	4	0	2	0	0	3	0	0	0	1	0	1	10	0	1	1	2	0	0	8	2	1	11	1	1	4	1	3	0	7	2	0	0	1	0	0	0	0	1	0	0	1	0	28	0	0	1	1	0	2	0	1	1	0	0	0	1	3	3	0	1	0	0	0	0	1	2	0	0	0	1	0	8	5	1	0	2	0	2	0	0	2	0	4	1	0	2	0	0	0	1	0	0	0	3	0	6	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	3	0	1	0	0	1	0	0	0	4	1	1	0	0	1	1	0	3	0	1	2	1	1	1	0	0	1	3	0
The Mad Preacher Liberation Front	5	14	21	4	14	11	10	2	9	10	4	7	5	4	6	1	19	2	22	1	19	7	24	5	2	8	1	3	6	4	15	7	7	17	9	27	3	17	2	7	7	4	7	6	5	18	13	3	6	6	12	1	14	3	0	11	9	23	4	6	11	1	5	5	13	0	6	6	0	9	4	7	1	3	2	16	5	10	3	4	8	1	4	5	9	8	1	2	2	10	10	4	1	2	12	5	3	2	5	7	2	3	10	54	33	6	16	20	18	0	1	6	1	4	6	17	13	1	5	18	12	11	27	7	9	7	2	2	3	1	6	28	6	27	3	5	12	8	8	14	4	6	9	5	7	6	8	12	8	9	7	4	9	10	4	9	5	12	5	0	15	4	3	6	25	2	10	1	10	2	3	10	11	5	1	7	39	15	1	4	3	31	8	4	12	15	8	5	5	5	5	14	3	1	9	6	7	1	51	5	7	1	6	3	0	9	15	10	4	8	7	6	5	7	8	3	14	7	4	6	3	9	2	15	3	1	9	9	0	7	6	2	7	19	0	10	2	2	0	7	2	0	9	9	10	2	4	26	3	5	9	2	26	1	7	3	5	4	8	8	8	3	8	13	2	10	2	3	7	0	6	10	4	9	2	12	15	9	7	4	8	7	14	1	8	1	4	10	5	4	2	4	39	7	10	6	2	17	2	7	2	4	7	13	7	8	11	1	10	2	3	2	1	6	37	8	1	9	6	1	2	11	1	0	6	17	4	2	68	2	7	7	1	3	5	8	24	5	1	3	15	5	12	3	2	12	1	2	11	2	12	1	3	10	27	2	5	19	4	8	3	6	1	4	15	0	0	8	1	0	6	4	1	6	16	4	2	2	1	7	8	3	9	7	0	5	14	10	13	42	9	9	2	3	6	3	1	11	4	0	9	7	1	4	5	4	4	2	2	3	3	7	1	7	7	0	4	3	8	3	0	13	3	11	5	3	43	13	7	1	5	1	7	8	2	11	8	3	12	11	4	1	5	7	2	10	4	6	5	3	3	2	15	1	3	4	5	8	12	3	0	6	1	22	8	0	15	2	8	7	5	13	8	8	1	2	2	3	6	3	2	4	7	11	10	10	5	2	0	10	8	6	11	6	11	10	5	1	1	6
AnnaLo 4ever	1	0	0	0	3	2	1	0	1	0	5	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	1	0	0	2	3	0	0	1	1	3	1	0	0	0	1	0	2	1	0	0	0	0	10	1	0	3	0	1	0	1	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	1	4	3	2	0	3	6	0	0	2	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	2	1	1	1	0	1	0	0	0	1	0	1	1	0	0	2	0	2	2	1	0	0	0	0	1	0	1	2	1	0	0	0	1	2	1	0	0	1	0	2	0	2	0	1	0	0	3	0	3	3	0	1	1	0	0	1	0	0	0	0	0	0	1	2	2	0	3	3	0	0	1	0	0	0	0	0	2	0	10	3	0	0	1	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	5	2	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	3	5	0	0	0	0	3	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	0	2	1	1	1	2	0	0	2	1	0	1	7	0	0	1	1	0	2	2	1	1	0	2	0	11	1	0	1	0	0	0	0	0	1	1	0	2	0	0	10	0	1	0	0	0	0	1	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	10	1	3	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	3	2	0	1	1	0	1	1	0	0	0	5	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
By Neddie Jingo!	6	17	32	28	13	12	33	21	32	23	13	31	33	29	35	13	37	22	87	29	34	21	35	18	13	53	11	3	19	21	38	20	15	8	19	118	11	27	6	21	60	12	31	52	25	26	24	94	13	16	36	13	23	13	14	62	23	25	27	82	38	28	7	13	31	15	18	18	26	20	28	29	59	11	7	22	11	28	8	23	52	6	49	19	11	22	16	25	14	13	1	25	12	42	12	47	12	21	31	7	6	10	21	105	69	21	61	24	40	10	32	16	32	2	20	17	5	16	18	59	27	13	10	23	24	28	2	21	4	19	21	18	18	31	17	11	28	11	10	53	16	23	8	59	32	16	30	31	12	40	16	17	8	16	29	34	19	77	22	8	30	14	7	26	9	18	25	26	29	9	30	12	42	28	16	11	53	47	20	5	6	40	11	3	38	26	6	29	38	22	23	8	19	6	39	41	18	27	33	42	18	31	19	23	30	15	21	14	9	16	9	20	18	28	11	7	21	16	15	14	10	7	9	11	31	21	9	8	6	16	49	7	21	30	28	24	21	35	29	13	12	16	54	40	35	13	28	5	16	37	24	9	82	30	45	8	15	31	20	90	24	24	41	32	30	30	16	31	38	13	14	11	18	20	56	70	37	25	38	42	32	10	29	19	10	19	19	47	32	19	13	16	43	35	42	96	42	15	16	9	20	68	20	16	7	7	35	15	20	22	46	8	4	18	34	9	1	47	26	45	18	15	13	9	8	38	11	25	71	22	29	18	18	32	14	4	8	24	9	5	25	12	50	29	17	11	2	75	13	24	34	13	24	7	18	11	19	59	7	20	8	31	1	10	2	9	6	91	12	115	17	27	15	26	10	6	20	24	7	28	5	22	19	13	5	12	27	22	43	37	11	9	16	26	6	31	13	17	4	12	4	72	15	18	36	5	13	7	10	7	4	12	24	15	63	4	26	8	15	17	20	42	6	5	20	19	32	21	9	31	47	7	21	10	8	26	11	8	15	10	6	15	25	17	5	16	6	6	31	8	9	14	77	17	12	15	25	5	20	14	5	33	29	14	3	3	14	41	24	15	28	10	4	17	14	2	20	11	11	25	2	6	43	9	13	17	12	5	9	65	25	9	34	27	42	2	21	3	15	8
